category,event_code,name,description,default_recipients,default_channels,priority,transactional,requires_consent,idempotency_key_pattern
ORDER,order.created,Order created,"Order record is created from POS, app, marketplace, WhatsApp, or API.","Customer, Staff, Tenant Admin","IN_APP,PUSH,WHATSAPP",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
ORDER,order.quick_drop.created,Quick drop order created,Quick drop bag is accepted before full itemization.,"Preparation Staff, Customer","IN_APP,WHATSAPP",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
ORDER,order.preparation.required,Preparation required,Quick drop or incomplete order requires itemization.,"Preparation Staff, Branch Manager","IN_APP,PUSH",HIGH,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
ORDER,order.prepared,Order prepared,Items are itemized and order is ready for processing.,"Customer, Processing Staff","IN_APP,PUSH,WHATSAPP",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
ORDER,order.processing.started,Processing started,Order enters processing workflow.,"Customer, Staff","IN_APP,PUSH",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
ORDER,order.ready,Order ready,Order is ready for pickup or delivery after QA and packing gates.,"Customer, Driver, Reception","IN_APP,PUSH,WHATSAPP,SMS",HIGH,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
ORDER,order.delayed,Order delayed,Ready-by time is at risk or missed.,"Customer, Branch Manager","IN_APP,PUSH,WHATSAPP",HIGH,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
ORDER,order.cancelled,Order cancelled,"Order is cancelled by staff, customer, or policy.","Customer, Tenant Admin","IN_APP,PUSH,WHATSAPP,EMAIL",HIGH,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
ORDER,order.closed,Order closed,Order is financially and operationally closed.,"Customer, Tenant Admin","IN_APP,EMAIL",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
ORDER,order.priority.changed,Order priority changed,Priority is changed by authorized user.,"Staff, Branch Manager","IN_APP,PUSH",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
ORDER,order.split.created,Split order created,Parent order is split into child/sub-order.,"Customer, Staff, Finance","IN_APP,PUSH",HIGH,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
ORDER,order.issue.created,Order issue created,Issue-to-solve is created before or after delivery.,"Customer, QA, Tenant Admin","IN_APP,PUSH,WHATSAPP",HIGH,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
ORDER,order.issue.resolved,Order issue resolved,Issue-to-solve is resolved.,"Customer, QA, Tenant Admin","IN_APP,PUSH,WHATSAPP",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
ORDER_ITEM,order.item.added,Order item added,Item is added to order during intake or preparation.,"Customer, Staff",IN_APP,LOW,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
ORDER_ITEM,order.item.removed,Order item removed,Item is removed from order with audit.,"Customer, Staff",IN_APP,NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
ORDER_ITEM,order.item.missing,Order item missing,Expected scanned item is missing during assembly or QA.,"QA, Branch Manager, Customer if policy requires","IN_APP,PUSH,WHATSAPP",URGENT,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
ORDER_ITEM,order.item.damaged,Order item damaged,Damage is recorded for a garment or piece.,"QA, Branch Manager, Customer","IN_APP,PUSH,WHATSAPP",URGENT,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
ORDER_ITEM,order.item.rework.required,Item rework required,QA rejects item and sends it back for reprocessing.,"Processing Staff, QA, Branch Manager","IN_APP,PUSH",HIGH,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
PREPARATION,preparation.task.created,Preparation task created,Task is created for quick drop itemization.,Preparation Staff,"IN_APP,PUSH",HIGH,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
PREPARATION,preparation.task.completed,Preparation task completed,All required preparation is done.,"Processing Staff, Reception","IN_APP,PUSH",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
PROCESSING,processing.step.completed,Processing step completed,"Sorting, pretreatment, washing, drying, or finishing step is completed.","Staff, Branch Manager",IN_APP,LOW,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
ASSEMBLY,assembly.started,Assembly started,Assembly task starts for expected pieces.,Assembly Staff,"IN_APP,PUSH",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
ASSEMBLY,assembly.exception,Assembly exception,"Missing, wrong, damaged, or extra item is detected.","QA, Branch Manager","IN_APP,PUSH",URGENT,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
ASSEMBLY,assembly.completed,Assembly completed,All expected items are assembled.,"QA, Packing Staff","IN_APP,PUSH",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
QA,qa.started,QA started,Quality assurance inspection is started.,QA Staff,IN_APP,NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
QA,qa.passed,QA passed,Order or item passed quality assurance.,"Packing Staff, Customer if policy requires","IN_APP,PUSH",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
QA,qa.failed,QA failed,Order or item failed QA.,"Processing Staff, Branch Manager, Customer if policy requires","IN_APP,PUSH,WHATSAPP",HIGH,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
PACKING,packing.completed,Packing completed,Packing list and packaging profile are completed.,"Reception, Driver, Customer","IN_APP,PUSH",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
PICKUP,pickup.scheduled,Pickup scheduled,Customer schedules pickup.,"Customer, Driver, Branch Staff","IN_APP,PUSH,WHATSAPP",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
PICKUP,pickup.reminder,Pickup reminder,Reminder before pickup time.,"Customer, Driver","PUSH,WHATSAPP,SMS",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
PICKUP,pickup.driver_assigned,Pickup driver assigned,Driver is assigned for pickup.,"Customer, Driver","PUSH,WHATSAPP",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
PICKUP,pickup.completed,Pickup completed,Pickup proof is captured.,"Customer, Branch Staff","PUSH,WHATSAPP,IN_APP",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
DELIVERY,delivery.assigned,Delivery assigned,Driver receives delivery task.,"Driver, Customer","PUSH,IN_APP,WHATSAPP",HIGH,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
DELIVERY,delivery.out_for_delivery,Out for delivery,Order leaves branch or plant.,"Customer, Driver, Reception","PUSH,WHATSAPP,SMS",HIGH,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
DELIVERY,delivery.otp_generated,Delivery OTP generated,OTP is generated for proof of delivery.,"Customer, Driver","PUSH,WHATSAPP,SMS",URGENT,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
DELIVERY,delivery.arrived,Driver arrived,Driver is at customer location.,Customer,"PUSH,WHATSAPP,SMS",URGENT,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
DELIVERY,delivery.failed,Delivery failed,"Delivery attempt failed due to absence, wrong address, or other issue.","Customer, Driver, Branch Manager","PUSH,WHATSAPP,IN_APP",HIGH,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
DELIVERY,delivery.delivered,Delivered,Delivery proof is captured.,"Customer, Tenant Admin","PUSH,WHATSAPP,EMAIL,IN_APP",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
DELIVERY,delivery.collected,Collected,Customer collected order from branch.,"Customer, Staff","PUSH,WHATSAPP,IN_APP",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
PAYMENT,payment.requested,Payment requested,Payment request link or amount is issued.,"Customer, Finance","PUSH,WHATSAPP,SMS,EMAIL",HIGH,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
PAYMENT,payment.received,Payment received,Payment or voucher is successfully recorded.,"Customer, Finance","PUSH,WHATSAPP,EMAIL,IN_APP",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
PAYMENT,payment.failed,Payment failed,"Gateway, card, wallet, or manual payment failed.","Customer, Finance","PUSH,WHATSAPP,SMS,EMAIL",HIGH,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
PAYMENT,payment.partial_received,Partial payment received,Partial payment is recorded.,"Customer, Finance","PUSH,WHATSAPP,EMAIL",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
PAYMENT,payment.collection_due,Payment collection due,Pay-on-collection amount is outstanding.,"Customer, Reception, Driver","PUSH,WHATSAPP,SMS",HIGH,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
REFUND,refund.requested,Refund requested,Refund request is created.,"Customer, Finance, Tenant Admin","IN_APP,EMAIL",HIGH,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
REFUND,refund.approved,Refund approved,Refund is approved by authorized role.,"Customer, Finance","PUSH,WHATSAPP,EMAIL",HIGH,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
REFUND,refund.rejected,Refund rejected,Refund is rejected with reason.,"Customer, Finance","PUSH,WHATSAPP,EMAIL",HIGH,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
REFUND,refund.processed,Refund processed,"Refund is sent to gateway, wallet, cash, or voucher.","Customer, Finance","PUSH,WHATSAPP,EMAIL",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
INVOICE,invoice.issued,Invoice issued,Tax invoice or AR invoice is issued.,"Customer, Finance, B2B Contact","PUSH,WHATSAPP,EMAIL,IN_APP",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
INVOICE,invoice.cancelled,Invoice cancelled,Invoice is cancelled/voided according to policy.,"Customer, Finance","EMAIL,IN_APP",HIGH,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
INVOICE,credit_note.issued,Credit note issued,Credit note is issued for reversal/refund.,"Customer, Finance","EMAIL,WHATSAPP,IN_APP",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
STATEMENT,statement.generated,Statement generated,B2B or customer statement is generated.,"B2B Contact, Finance","EMAIL,WHATSAPP,IN_APP",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
STATEMENT,statement.overdue,Statement overdue,Statement due date is passed.,"B2B Contact, Finance","EMAIL,WHATSAPP,SMS",HIGH,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
CUSTOMER,customer.stub.created,Stub customer created,POS creates minimal customer profile.,"Customer, Reception","WHATSAPP,SMS,IN_APP",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
CUSTOMER,customer.upgraded,Customer upgraded,Stub becomes full app profile after OTP.,"Customer, Tenant Admin","PUSH,WHATSAPP,IN_APP",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
CUSTOMER,customer.profile.updated,Customer profile updated,"Customer updates profile, address, or preference.","Customer, Staff if relevant","IN_APP,PUSH",LOW,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
LOYALTY,loyalty.points_added,Loyalty points added,Points are earned after eligible order/payment.,Customer,"PUSH,WHATSAPP,IN_APP",LOW,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
LOYALTY,loyalty.points_redeemed,Loyalty points redeemed,Customer uses points.,"Customer, Finance","PUSH,WHATSAPP,IN_APP",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
LOYALTY,loyalty.tier_changed,Loyalty tier changed,Customer moves to new loyalty tier.,Customer,"PUSH,WHATSAPP,EMAIL,IN_APP",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
WALLET,wallet.topup,Wallet top-up,Wallet receives balance.,"Customer, Finance","PUSH,WHATSAPP,IN_APP",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
WALLET,wallet.debited,Wallet debited,Wallet is used to pay or adjust.,"Customer, Finance","PUSH,WHATSAPP,IN_APP",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
GIFTCARD,giftcard.issued,Gift card issued,Gift card code is generated or sold.,"Customer, Finance","PUSH,WHATSAPP,EMAIL",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
GIFTCARD,giftcard.activated,Gift card activated,Gift card becomes usable.,Customer,"PUSH,WHATSAPP,EMAIL",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
MEMBERSHIP,membership.started,Membership started,Customer membership/subscription starts.,Customer,"PUSH,WHATSAPP,EMAIL",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
MEMBERSHIP,membership.renewal_due,Membership renewal due,Renewal date approaches.,Customer,"PUSH,WHATSAPP,SMS,EMAIL",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
MEMBERSHIP,membership.expired,Membership expired,Membership benefits expire.,Customer,"PUSH,WHATSAPP,EMAIL",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
STAFF,staff.task.assigned,Staff task assigned,Task is assigned to role/user.,Assigned Staff,"PUSH,IN_APP",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
STAFF,staff.shift.started,Shift started,Staff clock-in or shift starts.,"Staff, Manager",IN_APP,LOW,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
STAFF,staff.attendance.exception,Attendance exception,"Late, missing check-out, or absence detected.","Staff, Manager","IN_APP,PUSH,EMAIL",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
INVENTORY,inventory.low_stock,Low stock,Inventory item reaches threshold.,"Inventory Staff, Branch Manager","IN_APP,PUSH,EMAIL",HIGH,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
INVENTORY,inventory.reorder_created,Reorder created,Purchase request or reorder suggestion is created.,"Inventory Staff, Tenant Admin","IN_APP,EMAIL",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
INVENTORY,inventory.stockout,Stockout,Inventory item is unavailable.,"Inventory Staff, Branch Manager","IN_APP,PUSH,EMAIL",URGENT,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
MACHINE,machine.maintenance_due,Maintenance due,Machine maintenance threshold reached.,"Ops Manager, Branch Manager","IN_APP,PUSH,EMAIL",HIGH,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
MACHINE,machine.downtime_started,Downtime started,Machine is marked down.,"Ops Manager, Branch Manager","IN_APP,PUSH,EMAIL",HIGH,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
MACHINE,machine.downtime_resolved,Downtime resolved,Machine is active again.,"Ops Manager, Branch Manager","IN_APP,EMAIL",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
MARKETING,campaign.created,Campaign created,Marketing campaign draft is created.,"Marketing User, Tenant Admin",IN_APP,LOW,true,true,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
MARKETING,campaign.approved,Campaign approved,Campaign is approved and ready to send.,"Marketing User, Tenant Admin","IN_APP,EMAIL",NORMAL,true,true,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
MARKETING,campaign.launched,Campaign launched,Campaign run starts.,"Marketing User, Tenant Admin","IN_APP,EMAIL",NORMAL,true,true,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
MARKETING,campaign.completed,Campaign completed,Campaign run is completed.,"Marketing User, Tenant Admin","IN_APP,EMAIL",NORMAL,true,true,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
MARKETING,campaign.failed,Campaign failed,"Campaign cannot continue due to provider, quota, or validation issue.","Marketing User, Tenant Admin","IN_APP,EMAIL",HIGH,true,true,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
SUBSCRIPTION,subscription.trial_ending,Trial ending,Tenant trial period is near end.,"Tenant Admin, Platform Success","EMAIL,IN_APP,WHATSAPP",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
SUBSCRIPTION,subscription.renewal_due,Subscription renewal due,Tenant subscription renewal approaches.,"Tenant Admin, Platform Billing","EMAIL,IN_APP,WHATSAPP",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
SUBSCRIPTION,subscription.payment_failed,Subscription payment failed,Tenant subscription payment fails.,"Tenant Admin, Platform Billing","EMAIL,IN_APP,WHATSAPP",HIGH,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
PLAN_LIMIT,plan.limit_reached,Plan limit reached,Tenant reaches plan quota.,"Tenant Admin, Platform Success","EMAIL,IN_APP",HIGH,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
PLAN_LIMIT,plan.limit_warning,Plan limit warning,Tenant is near quota limit.,Tenant Admin,"EMAIL,IN_APP",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
SECURITY,security.login.detected,Login detected,New login or unusual login is detected.,"User, Tenant Admin if policy requires","EMAIL,IN_APP,PUSH",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
SECURITY,security.role.changed,Role changed,User role or permission changes.,"User, Tenant Admin","EMAIL,IN_APP",HIGH,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
SECURITY,security.password.changed,Password changed,Password or credentials changed.,User,"EMAIL,PUSH,IN_APP",HIGH,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
SECURITY,security.suspicious_activity,Suspicious activity,Risky action detected.,"Tenant Admin, Platform Security","EMAIL,IN_APP,PUSH",CRITICAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
SYSTEM,system.maintenance.scheduled,Maintenance scheduled,Scheduled maintenance is announced.,"Tenant Admin, Staff, Platform Users","EMAIL,IN_APP",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
SYSTEM,system.maintenance.started,Maintenance started,Maintenance window starts.,"Tenant Admin, Staff","EMAIL,IN_APP",HIGH,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
SYSTEM,system.maintenance.completed,Maintenance completed,Maintenance completed.,"Tenant Admin, Staff","EMAIL,IN_APP",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
SYSTEM,provider.whatsapp.degraded,WhatsApp provider degraded,WhatsApp provider failure or degraded performance.,"Platform Admin, Tenant Admin if impacted","EMAIL,IN_APP",HIGH,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
SYSTEM,provider.sms.degraded,SMS provider degraded,SMS provider failure or degraded performance.,"Platform Admin, Tenant Admin if impacted","EMAIL,IN_APP",HIGH,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
SYSTEM,queue.backlog.high,Queue backlog high,Notification queue backlog crosses threshold.,"Platform Admin, DevOps","EMAIL,IN_APP",CRITICAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
WORKFLOW,workflow.stage.intake.entered,Workflow stage intake entered,Order or item enters intake stage.,"Staff, Customer if customer-visible","IN_APP,PUSH",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
WORKFLOW,workflow.stage.preparing.entered,Workflow stage preparing entered,Order or item enters preparing stage.,"Staff, Customer if customer-visible","IN_APP,PUSH",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
WORKFLOW,workflow.stage.sorting.entered,Workflow stage sorting entered,Order or item enters sorting stage.,"Staff, Customer if customer-visible","IN_APP,PUSH",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
WORKFLOW,workflow.stage.pretreatment.entered,Workflow stage pretreatment entered,Order or item enters pretreatment stage.,"Staff, Customer if customer-visible","IN_APP,PUSH",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
WORKFLOW,workflow.stage.washing.entered,Workflow stage washing entered,Order or item enters washing stage.,"Staff, Customer if customer-visible","IN_APP,PUSH",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
WORKFLOW,workflow.stage.drying.entered,Workflow stage drying entered,Order or item enters drying stage.,"Staff, Customer if customer-visible","IN_APP,PUSH",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
WORKFLOW,workflow.stage.finishing.entered,Workflow stage finishing entered,Order or item enters finishing stage.,"Staff, Customer if customer-visible","IN_APP,PUSH",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
WORKFLOW,workflow.stage.assembly.entered,Workflow stage assembly entered,Order or item enters assembly stage.,"Staff, Customer if customer-visible","IN_APP,PUSH",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
WORKFLOW,workflow.stage.qa.entered,Workflow stage qa entered,Order or item enters qa stage.,"Staff, Customer if customer-visible","IN_APP,PUSH",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
WORKFLOW,workflow.stage.packing.entered,Workflow stage packing entered,Order or item enters packing stage.,"Staff, Customer if customer-visible","IN_APP,PUSH",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
WORKFLOW,workflow.stage.ready.entered,Workflow stage ready entered,Order or item enters ready stage.,"Staff, Customer if customer-visible","IN_APP,PUSH",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
WORKFLOW,workflow.stage.out_for_delivery.entered,Workflow stage out_for_delivery entered,Order or item enters out_for_delivery stage.,"Staff, Customer if customer-visible","IN_APP,PUSH",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
WORKFLOW,workflow.stage.delivered.entered,Workflow stage delivered entered,Order or item enters delivered stage.,"Staff, Customer if customer-visible","IN_APP,PUSH",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
WORKFLOW,workflow.stage.closed.entered,Workflow stage closed entered,Order or item enters closed stage.,"Staff, Customer if customer-visible","IN_APP,PUSH",NORMAL,true,false,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
MARKETING,campaign.recipient.opened,Campaign recipient opened,Campaign recipient opened event is received from provider or app.,"Marketing User, Tenant Admin",IN_APP,LOW,true,true,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
MARKETING,campaign.recipient.clicked,Campaign recipient clicked,Campaign recipient clicked event is received from provider or app.,"Marketing User, Tenant Admin",IN_APP,LOW,true,true,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
MARKETING,campaign.recipient.bounced,Campaign recipient bounced,Campaign recipient bounced event is received from provider or app.,"Marketing User, Tenant Admin",IN_APP,LOW,true,true,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
MARKETING,campaign.recipient.unsubscribed,Campaign recipient unsubscribed,Campaign recipient unsubscribed event is received from provider or app.,"Marketing User, Tenant Admin",IN_APP,LOW,true,true,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
MARKETING,campaign.recipient.complained,Campaign recipient complained,Campaign recipient complained event is received from provider or app.,"Marketing User, Tenant Admin",IN_APP,LOW,true,true,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
MARKETING,campaign.recipient.converted,Campaign recipient converted,Campaign recipient converted event is received from provider or app.,"Marketing User, Tenant Admin",IN_APP,LOW,true,true,{tenant_org_id}:{event_code}:{source_entity_id}:{recipient_id}
